Year,heating,cooling & ventilation,envelope,lighting,appliances,other,,
electricity (BTU),20377114323478.0,108304582122876.0,0.0,18413016563997.2,111887115686684.0,153012702777686.0,,
coal (BTU),0.0,0.0,0.0,0.0,0.0,0.0,,
natural gas (BTU),5937893752384.86,0.0,0.0,0.0,12033680597356.2,0.0,,
petroleum diesel (BTU),72797637113.6448,0.0,0.0,0.0,4091086342.97666,0.0,,
heat (BTU),0.0,0.0,0.0,0.0,0.0,0.0,,
biomass (BTU),214190015343.445,0.0,0.0,0.0,0.0,0.0,,
kerosene (BTU),17391496972.331,0.0,0.0,0.0,0.0,0.0,,
heavy or residual fuel oil (BTU),0.0,0.0,0.0,0.0,0.0,0.0,,
LPG propane or butane (BTU),4036447378622.91,0.0,0.0,0.0,1818995049377.17,0.0,,
hydrogen (BTU),0.0,0.0,0.0,0.0,0.0,0.0,,
